frame,x,y,z
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,-1.0584,0.037175,0.12608
7,-1.0331,0.03292,0.13531
8,-0.99829,0.029379,0.14679
9,-0.96454,0.031782,0.1577
10,-0.92917,0.030461,0.17001
11,-0.89555,0.031678,0.17981
12,-0.86041,0.028473,0.18504
13,-0.82325,0.029728,0.19504
14,-0.78756,0.022912,0.20169
15,-0.75424,0.028262,0.20678
16,-0.72029,0.017411,0.21299
17,-0.68578,0.018726,0.21784
18,-0.64986,0.020368,0.2219
19,-0.61578,0.017512,0.22623
20,-0.58141,0.019972,0.22968
21,-0.54616,0.016911,0.23151
22,-0.51384,0.020103,0.23138
23,-0.47834,0.017114,0.23247
24,-0.44416,0.016672,0.23056
25,-0.40652,0.019782,0.23065
26,-0.372,0.016625,0.23004
27,-0.33854,0.015589,0.22774
28,-0.30488,0.012824,0.22463
29,-0.27148,0.018155,0.22231
30,-0.23257,0.016194,0.21605
31,-0.19882,0.01927,0.21007
32,-0.16407,0.016492,0.20271
33,-0.13007,0.019361,0.1958
34,-0.096944,0.030757,0.1885
35,-0.062588,0.02649,0.17929
36,-0.028088,0.029313,0.16876
37,0.0065222,0.039703,0.15962
38,0.041389,0.039492,0.14782
39,0.072912,0.038147,0.13676
40,0.10638,0.043262,0.12502
41,0.14003,0.042932,0.11297
42,0.17976,0.051375,0.097314
43,0.20858,0.054583,0.083682
44,0.2394,0.053793,0.06833
45,0.27491,0.053894,0.054453
46,0.30767,0.061877,0.036077
47,0.3395,0.063011,0.018087
48,0.37601,0.062738,3.8068e-05
49,0.40875,0.066671,-0.020945
50,0.43882,0.069391,-0.041269
51,0.46962,0.070381,-0.058109
52,0.50326,0.073021,-0.081474
53,0.52703,0.089045,-0.078412
54,0.54859,0.084295,-0.058386
55,0.5656,0.082289,-0.039583
56,0.58463,0.083637,-0.021598
57,0.60113,0.087058,-0.0045654
58,0.61937,0.088957,0.011513
59,0.63934,0.089145,0.026632
60,0.65678,0.090648,0.040436
61,0.67444,0.089696,0.055883
62,0.6937,0.091777,0.06903
63,0.7089,0.092689,0.077757
64,0.7263,0.091289,0.088368
65,0.74325,0.089292,0.10004
66,0.76202,0.092569,0.10928
67,0.78023,0.091465,0.11804
68,0.79569,0.096176,0.12634
69,0.81209,0.091833,0.13395
70,0.83002,0.091328,0.14009
71,0.84693,0.097687,0.14509
72,0.86304,0.095134,0.15
73,0.87959,0.096947,0.15423
74,0.89496,0.092852,0.15725
75,0.91234,0.097206,0.15937
76,0.92828,0.09358,0.1598
77,0.94431,0.09609,0.16247
78,0.96187,0.099072,0.16252
79,0.97703,0.097221,0.16304
80,0.99093,0.090647,0.16302
81,1.0075,0.096889,0.1617
82,1.0241,0.098357,0.15816
83,1.0414,0.099148,0.15495
84,1.0574,0.1017,0.15133
85,1.0735,0.10147,0.14487
86,1.0866,0.10277,0.14209
87,1.1042,0.10073,0.13639
88,1.119,0.10161,0.13007
89,1.1356,0.10175,0.12285
90,1.1505,0.10083,0.11547
91,1.1653,0.10655,0.10847
92,1.1789,0.10464,0.099447
93,1.1956,0.10434,0.089074
94,1.2099,0.1037,0.078167
95,1.226,0.1031,0.066655
96,1.2405,0.10446,0.056798
97,1.2555,0.10588,0.044549
98,1.2701,0.10372,0.032198
99,1.2848,0.10418,0.018206
100,1.2996,0.10646,0.0051548
101,1.3136,0.10545,-0.010259
102,1.3277,0.10615,-0.024445
103,1.3419,0.10776,-0.041676
104,1.3569,0.10725,-0.056355
105,1.3715,0.10837,-0.074623
106,1.3834,0.1097,-0.089271
107,1.3989,0.10783,-0.10892
108,1.4136,0.11103,-0.12879
109,1.4278,0.1123,-0.14719
110,1.4387,0.11142,-0.16559
111,NaN,NaN,NaN
112,NaN,NaN,NaN
113,NaN,NaN,NaN
114,NaN,NaN,NaN
115,NaN,NaN,NaN
116,NaN,NaN,NaN
117,NaN,NaN,NaN
118,NaN,NaN,NaN
119,NaN,NaN,NaN
120,NaN,NaN,NaN
121,NaN,NaN,NaN
122,NaN,NaN,NaN
123,NaN,NaN,NaN
124,NaN,NaN,NaN
125,NaN,NaN,NaN
126,NaN,NaN,NaN
127,NaN,NaN,NaN
128,NaN,NaN,NaN
129,NaN,NaN,NaN
130,NaN,NaN,NaN
131,NaN,NaN,NaN
132,NaN,NaN,NaN
133,NaN,NaN,NaN
134,NaN,NaN,NaN
135,NaN,NaN,NaN
136,NaN,NaN,NaN
137,NaN,NaN,NaN
138,NaN,NaN,NaN
139,NaN,NaN,NaN
140,NaN,NaN,NaN
141,NaN,NaN,NaN
142,NaN,NaN,NaN
143,NaN,NaN,NaN
144,NaN,NaN,NaN
145,NaN,NaN,NaN
146,NaN,NaN,NaN
147,NaN,NaN,NaN
148,NaN,NaN,NaN
149,NaN,NaN,NaN
150,NaN,NaN,NaN
151,NaN,NaN,NaN
152,NaN,NaN,NaN
153,NaN,NaN,NaN
154,NaN,NaN,NaN
155,NaN,NaN,NaN
156,NaN,NaN,NaN
157,NaN,NaN,NaN
158,NaN,NaN,NaN
159,NaN,NaN,NaN
160,NaN,NaN,NaN
161,NaN,NaN,NaN
162,NaN,NaN,NaN
163,NaN,NaN,NaN
164,NaN,NaN,NaN
165,NaN,NaN,NaN
166,NaN,NaN,NaN
167,NaN,NaN,NaN
168,NaN,NaN,NaN
169,NaN,NaN,NaN
170,NaN,NaN,NaN
171,NaN,NaN,NaN
172,NaN,NaN,NaN
173,NaN,NaN,NaN
174,NaN,NaN,NaN
175,NaN,NaN,NaN
176,NaN,NaN,NaN
177,NaN,NaN,NaN
178,NaN,NaN,NaN
179,NaN,NaN,NaN
180,NaN,NaN,NaN
181,NaN,NaN,NaN
182,NaN,NaN,NaN
183,NaN,NaN,NaN
184,NaN,NaN,NaN
185,NaN,NaN,NaN
186,NaN,NaN,NaN
187,NaN,NaN,NaN
188,NaN,NaN,NaN
189,NaN,NaN,NaN
190,NaN,NaN,NaN
191,NaN,NaN,NaN
192,NaN,NaN,NaN
193,NaN,NaN,NaN
194,NaN,NaN,NaN
195,NaN,NaN,NaN
196,NaN,NaN,NaN
197,NaN,NaN,NaN
198,NaN,NaN,NaN
199,NaN,NaN,NaN
200,NaN,NaN,NaN
201,NaN,NaN,NaN
202,NaN,NaN,NaN
203,NaN,NaN,NaN
204,NaN,NaN,NaN
205,NaN,NaN,NaN
206,NaN,NaN,NaN
207,NaN,NaN,NaN
208,NaN,NaN,NaN
209,NaN,NaN,NaN
210,NaN,NaN,NaN
211,NaN,NaN,NaN
212,NaN,NaN,NaN
213,NaN,NaN,NaN
214,NaN,NaN,NaN
215,NaN,NaN,NaN
216,NaN,NaN,NaN
217,NaN,NaN,NaN
218,NaN,NaN,NaN
219,NaN,NaN,NaN
220,NaN,NaN,NaN
221,NaN,NaN,NaN
222,NaN,NaN,NaN
223,NaN,NaN,NaN
224,NaN,NaN,NaN
225,NaN,NaN,NaN
226,NaN,NaN,NaN
227,NaN,NaN,NaN
228,NaN,NaN,NaN
229,NaN,NaN,NaN
230,NaN,NaN,NaN
231,NaN,NaN,NaN
232,NaN,NaN,NaN
233,NaN,NaN,NaN
234,NaN,NaN,NaN
235,NaN,NaN,NaN
236,NaN,NaN,NaN
237,NaN,NaN,NaN
238,NaN,NaN,NaN
239,NaN,NaN,NaN
240,NaN,NaN,NaN
241,NaN,NaN,NaN
242,NaN,NaN,NaN
243,NaN,NaN,NaN
244,NaN,NaN,NaN
245,NaN,NaN,NaN
246,NaN,NaN,NaN
247,NaN,NaN,NaN
248,NaN,NaN,NaN
249,NaN,NaN,NaN
250,NaN,NaN,NaN
251,NaN,NaN,NaN
252,NaN,NaN,NaN
253,NaN,NaN,NaN
254,NaN,NaN,NaN
255,NaN,NaN,NaN
256,NaN,NaN,NaN
257,NaN,NaN,NaN
