frame,x,y,z
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,-1.1166,0.023909,0.17297
6,-1.072,0.02355,0.18339
7,-1.0239,0.02483,0.19642
8,-0.96925,0.029612,0.20845
9,-0.91559,0.028094,0.22029
10,-0.86721,0.032183,0.22843
11,-0.82005,0.03293,0.23755
12,-0.76852,0.034281,0.24933
13,-0.71513,0.025741,0.25797
14,-0.66524,0.029861,0.26498
15,-0.61636,0.030453,0.27031
16,-0.56907,0.035324,0.27358
17,-0.52361,0.032863,0.28055
18,-0.47257,0.040293,0.28525
19,-0.42253,0.043167,0.28794
20,-0.37928,0.061476,0.28693
21,-0.33034,0.064649,0.28806
22,-0.2827,0.074968,0.28894
23,-0.23738,0.0584,0.29351
24,-0.18811,0.080563,0.28938
25,-0.14317,0.083125,0.29009
26,-0.093923,0.084731,0.29181
27,-0.047002,0.087109,0.28769
28,-0.0068933,0.10527,0.28142
29,0.034572,0.097137,0.28287
30,0.083299,0.10082,0.28105
31,0.12914,0.11372,0.27429
32,0.17528,0.12334,0.26592
33,0.21674,0.12712,0.2622
34,0.26234,0.12707,0.25462
35,0.30384,0.13605,0.24721
36,0.34961,0.15352,0.23921
37,0.3932,0.15934,0.22619
38,0.43502,0.16723,0.21692
39,0.48023,0.17155,0.20555
40,0.51997,0.17493,0.19448
41,0.56337,0.18812,0.18314
42,0.60112,0.18461,0.17099
43,0.64267,0.19312,0.15784
44,0.68499,0.19872,0.14146
45,0.72417,0.21105,0.12657
46,0.76424,0.21655,0.11179
47,0.80468,0.22259,0.093773
48,0.84624,0.22447,0.076323
49,0.88517,0.23344,0.060543
50,0.92675,0.24302,0.041414
51,0.96579,0.26422,0.021511
52,1.0033,0.26197,0.0023446
53,1.0429,0.26579,-0.017245
54,1.0806,0.27221,-0.038925
55,1.1201,0.28964,-0.057292
56,1.1548,0.29827,-0.063611
57,1.1778,0.30309,-0.044303
58,1.21,0.3213,-0.027131
59,1.2378,0.32589,-0.0043157
60,1.2575,0.33318,0.014469
61,1.2834,0.33852,0.031016
62,1.3113,0.3471,0.048962
63,1.3365,0.35221,0.060881
64,1.3597,0.35976,0.0795
65,1.3816,0.36671,0.091569
66,1.4109,0.3773,0.10997
67,1.4365,0.38183,0.12218
68,1.4575,0.38338,0.13542
69,1.4844,0.39894,0.14311
70,1.507,0.40502,0.1542
71,1.5326,0.41583,0.16435
72,1.5558,0.42146,0.17423
73,1.5817,0.43223,0.18455
74,1.6021,0.43272,0.19143
75,1.6269,0.44585,0.19581
76,1.649,0.44738,0.20178
77,1.674,0.46421,0.20742
78,1.6943,0.46548,0.21247
79,1.7235,0.47996,0.21827
80,1.7434,0.48588,0.21973
81,1.7688,0.49719,0.22135
82,1.7888,0.50345,0.22594
83,1.8126,0.51037,0.22571
84,1.8344,0.51932,0.2275
85,1.8602,0.52658,0.22419
86,1.8832,0.53709,0.22532
87,1.907,0.54699,0.22436
88,1.9314,0.55373,0.22155
89,1.9527,0.56645,0.21937
90,1.9764,0.57432,0.21329
91,1.9979,0.58219,0.21115
92,2.0219,0.59235,0.20342
93,2.0434,0.60146,0.19917
94,2.0639,0.60968,0.1933
95,2.0913,0.62215,0.18456
96,2.1141,0.63202,0.18038
97,2.1364,0.64157,0.17022
98,2.1578,0.64939,0.15797
99,2.1854,0.65925,0.14917
100,2.2092,0.67745,0.1391
101,2.2328,0.68132,0.13088
102,2.2546,0.69423,0.11667
103,2.2812,0.70847,0.10161
104,2.3031,0.71924,0.092261
105,2.3281,0.7284,0.075813
106,2.3521,0.73941,0.064007
107,2.376,0.75431,0.047924
108,2.4072,0.76464,0.031036
109,2.4264,0.77886,0.013219
110,2.4506,0.78701,-0.0011086
111,2.4817,0.80878,-0.021099
112,2.5031,0.81497,-0.039011
113,2.5387,0.83837,-0.063593
114,2.5613,0.85075,-0.080417
115,2.5902,0.86956,-0.10279
116,2.6148,0.88248,-0.12712
117,2.6329,0.88907,-0.14977
118,2.6648,0.90764,-0.17463
119,2.6957,0.92646,-0.20064
120,2.7252,0.9469,-0.22727
121,2.7401,0.94959,-0.25192
122,2.7611,0.96098,-0.28168
123,2.7959,0.98283,-0.30958
124,2.8239,0.99766,-0.33532
125,NaN,NaN,NaN
126,NaN,NaN,NaN
127,NaN,NaN,NaN
128,NaN,NaN,NaN
129,NaN,NaN,NaN
130,NaN,NaN,NaN
131,NaN,NaN,NaN
132,NaN,NaN,NaN
133,NaN,NaN,NaN
134,NaN,NaN,NaN
135,NaN,NaN,NaN
136,NaN,NaN,NaN
137,NaN,NaN,NaN
138,NaN,NaN,NaN
139,NaN,NaN,NaN
140,NaN,NaN,NaN
141,NaN,NaN,NaN
142,NaN,NaN,NaN
143,NaN,NaN,NaN
144,NaN,NaN,NaN
145,NaN,NaN,NaN
146,NaN,NaN,NaN
147,NaN,NaN,NaN
148,NaN,NaN,NaN
149,NaN,NaN,NaN
150,NaN,NaN,NaN
151,NaN,NaN,NaN
152,NaN,NaN,NaN
153,NaN,NaN,NaN
154,NaN,NaN,NaN
155,NaN,NaN,NaN
156,NaN,NaN,NaN
157,NaN,NaN,NaN
158,NaN,NaN,NaN
159,NaN,NaN,NaN
160,NaN,NaN,NaN
161,NaN,NaN,NaN
162,NaN,NaN,NaN
163,NaN,NaN,NaN
164,NaN,NaN,NaN
165,NaN,NaN,NaN
166,NaN,NaN,NaN
167,NaN,NaN,NaN
168,NaN,NaN,NaN
169,NaN,NaN,NaN
170,NaN,NaN,NaN
171,NaN,NaN,NaN
172,NaN,NaN,NaN
173,NaN,NaN,NaN
174,NaN,NaN,NaN
175,NaN,NaN,NaN
176,NaN,NaN,NaN
177,NaN,NaN,NaN
178,NaN,NaN,NaN
179,NaN,NaN,NaN
180,NaN,NaN,NaN
181,NaN,NaN,NaN
182,NaN,NaN,NaN
183,NaN,NaN,NaN
184,NaN,NaN,NaN
185,NaN,NaN,NaN
186,NaN,NaN,NaN
187,NaN,NaN,NaN
188,NaN,NaN,NaN
189,NaN,NaN,NaN
190,NaN,NaN,NaN
191,NaN,NaN,NaN
192,NaN,NaN,NaN
193,NaN,NaN,NaN
194,NaN,NaN,NaN
195,NaN,NaN,NaN
196,NaN,NaN,NaN
197,NaN,NaN,NaN
198,NaN,NaN,NaN
199,NaN,NaN,NaN
200,NaN,NaN,NaN
201,NaN,NaN,NaN
202,NaN,NaN,NaN
203,NaN,NaN,NaN
204,NaN,NaN,NaN
205,NaN,NaN,NaN
206,NaN,NaN,NaN
207,NaN,NaN,NaN
208,NaN,NaN,NaN
209,NaN,NaN,NaN
210,NaN,NaN,NaN
211,NaN,NaN,NaN
212,NaN,NaN,NaN
213,NaN,NaN,NaN
214,NaN,NaN,NaN
215,NaN,NaN,NaN
216,NaN,NaN,NaN
217,NaN,NaN,NaN
218,NaN,NaN,NaN
219,NaN,NaN,NaN
220,NaN,NaN,NaN
221,NaN,NaN,NaN
222,NaN,NaN,NaN
223,NaN,NaN,NaN
224,NaN,NaN,NaN
225,NaN,NaN,NaN
226,NaN,NaN,NaN
227,NaN,NaN,NaN
228,NaN,NaN,NaN
229,NaN,NaN,NaN
230,NaN,NaN,NaN
231,NaN,NaN,NaN
232,NaN,NaN,NaN
233,NaN,NaN,NaN
234,NaN,NaN,NaN
235,NaN,NaN,NaN
236,NaN,NaN,NaN
237,NaN,NaN,NaN
238,NaN,NaN,NaN
239,NaN,NaN,NaN
240,NaN,NaN,NaN
241,NaN,NaN,NaN
242,NaN,NaN,NaN
243,NaN,NaN,NaN
244,NaN,NaN,NaN
245,NaN,NaN,NaN
246,NaN,NaN,NaN
247,NaN,NaN,NaN
248,NaN,NaN,NaN
249,NaN,NaN,NaN
250,NaN,NaN,NaN
251,NaN,NaN,NaN
252,NaN,NaN,NaN
253,NaN,NaN,NaN
