frame,x,y,z
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,-0.31691,0.039349,0.045715
6,-0.30346,0.035244,0.04745
7,-0.28761,0.033609,0.051892
8,-0.27391,0.034781,0.056075
9,-0.2571,0.03162,0.059133
10,-0.24282,0.032739,0.062041
11,-0.22797,0.030087,0.065966
12,-0.21065,0.026035,0.068125
13,-0.19418,0.023136,0.070061
14,-0.18004,0.024666,0.07238
15,-0.16243,0.023061,0.073892
16,-0.14717,0.022341,0.074505
17,-0.13309,0.022896,0.074244
18,-0.11722,0.022261,0.07648
19,-0.10111,0.021053,0.075214
20,-0.086666,0.023061,0.075886
21,-0.071371,0.025982,0.07508
22,-0.056096,0.025711,0.072336
23,-0.041858,0.026758,0.071628
24,-0.025419,0.024627,0.070752
25,-0.011433,0.027614,0.069557
26,0.0033797,0.028955,0.066345
27,0.017709,0.032583,0.063514
28,0.03263,0.033338,0.061684
29,0.045922,0.038092,0.058559
30,0.062832,0.035778,0.054391
31,0.074555,0.044094,0.051942
32,0.08962,0.042354,0.047393
33,0.10365,0.044479,0.042426
34,0.11687,0.047946,0.03866
35,0.13072,0.050609,0.033401
36,0.14238,0.055413,0.029216
37,0.15296,0.058354,0.024015
38,0.1678,0.059129,0.019041
39,0.18045,0.062336,0.013417
40,0.19432,0.064023,0.0069496
41,0.20542,0.067235,-3.0523e-05
42,0.21576,0.071029,-0.0054895
43,0.22984,0.073945,-0.012496
44,0.24024,0.076539,-0.018898
45,0.25059,0.078335,-0.025827
46,0.26198,0.076146,-0.024252
47,0.2727,0.076449,-0.019527
48,0.28304,0.078198,-0.014168
49,0.29234,0.082102,-0.0099235
50,0.30106,0.086593,-0.0039537
51,0.31373,0.082694,0.0015301
52,0.32222,0.084201,0.0058466
53,0.33262,0.086005,0.0094471
54,0.34305,0.089665,0.012912
55,0.35091,0.095291,0.017211
56,0.362,0.092823,0.017691
57,0.36964,0.098866,0.023153
58,0.37916,0.10025,0.024372
59,0.38691,0.10357,0.027043
60,0.39794,0.10348,0.030379
61,0.40457,0.10679,0.033885
62,0.4133,0.10942,0.034853
63,0.42173,0.10944,0.035643
64,0.43023,0.11205,0.036994
65,0.43944,0.11349,0.038877
66,0.44782,0.11485,0.038683
67,0.45473,0.11758,0.038988
68,0.46243,0.11851,0.03924
69,0.47037,0.11701,0.039159
70,0.47722,0.1214,0.038773
71,0.48493,0.12279,0.039708
72,0.49153,0.12664,0.039038
73,0.49951,0.12142,0.037508
74,0.50669,0.12617,0.034872
75,0.51361,0.12306,0.034085
76,0.52054,0.12751,0.034094
77,0.52616,0.12889,0.031734
78,0.53363,0.12695,0.029268
79,0.5385,0.13056,0.027645
80,0.54618,0.12661,0.025137
81,0.55134,0.13029,0.023507
82,0.55861,0.12758,0.020469
83,0.56399,0.12926,0.018798
84,0.56918,0.13024,0.01402
85,0.57429,0.13177,0.012348
86,0.58027,0.13021,0.0090729
87,0.58595,0.1302,0.0052285
88,0.59034,0.12952,0.0018615
89,0.59613,0.13164,-0.0021077
90,0.60132,0.12848,-0.0065105
91,0.60473,0.13007,-0.011853
92,0.61018,0.13047,-0.015008
93,0.61435,0.12937,-0.01867
94,0.62153,0.12677,-0.024299
95,0.62488,0.12676,-0.028834
96,0.62749,0.12913,-0.032159
97,0.63176,0.12881,-0.037867
98,0.6368,0.12691,-0.043611
99,0.64104,0.12816,-0.04733
100,0.64448,0.12708,-0.053187
101,0.64827,0.12619,-0.057407
102,0.65144,0.12506,-0.063275
103,0.65466,0.12579,-0.068311
104,0.65784,0.12467,-0.074197
105,0.66182,0.12393,-0.080893
106,0.6646,0.12254,-0.08644
107,0.66711,0.12238,-0.09291
108,0.67051,0.11753,-0.098321
109,0.67238,0.11783,-0.10424
110,0.67535,0.11644,-0.11046
111,0.67698,0.11715,-0.11566
112,NaN,NaN,NaN
113,NaN,NaN,NaN
114,NaN,NaN,NaN
115,NaN,NaN,NaN
116,NaN,NaN,NaN
117,NaN,NaN,NaN
118,NaN,NaN,NaN
119,NaN,NaN,NaN
120,NaN,NaN,NaN
121,NaN,NaN,NaN
122,NaN,NaN,NaN
123,NaN,NaN,NaN
124,NaN,NaN,NaN
125,NaN,NaN,NaN
126,NaN,NaN,NaN
127,NaN,NaN,NaN
128,NaN,NaN,NaN
129,NaN,NaN,NaN
130,NaN,NaN,NaN
131,NaN,NaN,NaN
132,NaN,NaN,NaN
133,NaN,NaN,NaN
134,NaN,NaN,NaN
135,NaN,NaN,NaN
136,NaN,NaN,NaN
137,NaN,NaN,NaN
138,NaN,NaN,NaN
139,NaN,NaN,NaN
140,NaN,NaN,NaN
141,NaN,NaN,NaN
142,NaN,NaN,NaN
143,NaN,NaN,NaN
144,NaN,NaN,NaN
145,NaN,NaN,NaN
146,NaN,NaN,NaN
147,NaN,NaN,NaN
148,NaN,NaN,NaN
149,NaN,NaN,NaN
150,NaN,NaN,NaN
151,NaN,NaN,NaN
152,NaN,NaN,NaN
153,NaN,NaN,NaN
154,NaN,NaN,NaN
155,NaN,NaN,NaN
156,NaN,NaN,NaN
157,NaN,NaN,NaN
158,NaN,NaN,NaN
159,NaN,NaN,NaN
160,NaN,NaN,NaN
161,NaN,NaN,NaN
162,NaN,NaN,NaN
163,NaN,NaN,NaN
164,NaN,NaN,NaN
165,NaN,NaN,NaN
166,NaN,NaN,NaN
167,NaN,NaN,NaN
168,NaN,NaN,NaN
169,NaN,NaN,NaN
170,NaN,NaN,NaN
171,NaN,NaN,NaN
172,NaN,NaN,NaN
173,NaN,NaN,NaN
174,NaN,NaN,NaN
175,NaN,NaN,NaN
176,NaN,NaN,NaN
177,NaN,NaN,NaN
178,NaN,NaN,NaN
179,NaN,NaN,NaN
180,NaN,NaN,NaN
181,NaN,NaN,NaN
182,NaN,NaN,NaN
183,NaN,NaN,NaN
184,NaN,NaN,NaN
185,NaN,NaN,NaN
186,NaN,NaN,NaN
187,NaN,NaN,NaN
188,NaN,NaN,NaN
189,NaN,NaN,NaN
190,NaN,NaN,NaN
191,NaN,NaN,NaN
192,NaN,NaN,NaN
193,NaN,NaN,NaN
194,NaN,NaN,NaN
195,NaN,NaN,NaN
196,NaN,NaN,NaN
197,NaN,NaN,NaN
198,NaN,NaN,NaN
199,NaN,NaN,NaN
200,NaN,NaN,NaN
201,NaN,NaN,NaN
202,NaN,NaN,NaN
203,NaN,NaN,NaN
204,NaN,NaN,NaN
205,NaN,NaN,NaN
206,NaN,NaN,NaN
207,NaN,NaN,NaN
208,NaN,NaN,NaN
209,NaN,NaN,NaN
210,NaN,NaN,NaN
211,NaN,NaN,NaN
212,NaN,NaN,NaN
213,NaN,NaN,NaN
214,NaN,NaN,NaN
215,NaN,NaN,NaN
216,NaN,NaN,NaN
217,NaN,NaN,NaN
218,NaN,NaN,NaN
219,NaN,NaN,NaN
220,NaN,NaN,NaN
221,NaN,NaN,NaN
222,NaN,NaN,NaN
223,NaN,NaN,NaN
224,NaN,NaN,NaN
225,NaN,NaN,NaN
226,NaN,NaN,NaN
227,NaN,NaN,NaN
228,NaN,NaN,NaN
229,NaN,NaN,NaN
230,NaN,NaN,NaN
231,NaN,NaN,NaN
232,NaN,NaN,NaN
233,NaN,NaN,NaN
234,NaN,NaN,NaN
235,NaN,NaN,NaN
236,NaN,NaN,NaN
237,NaN,NaN,NaN
238,NaN,NaN,NaN
239,NaN,NaN,NaN
240,NaN,NaN,NaN
241,NaN,NaN,NaN
242,NaN,NaN,NaN
243,NaN,NaN,NaN
244,NaN,NaN,NaN
245,NaN,NaN,NaN
246,NaN,NaN,NaN
247,NaN,NaN,NaN
248,NaN,NaN,NaN
249,NaN,NaN,NaN
250,NaN,NaN,NaN
251,NaN,NaN,NaN
252,NaN,NaN,NaN
253,NaN,NaN,NaN
254,NaN,NaN,NaN
255,NaN,NaN,NaN
256,NaN,NaN,NaN
257,NaN,NaN,NaN
258,NaN,NaN,NaN
259,NaN,NaN,NaN
260,NaN,NaN,NaN
261,NaN,NaN,NaN
262,NaN,NaN,NaN
263,NaN,NaN,NaN
264,NaN,NaN,NaN
265,NaN,NaN,NaN
266,NaN,NaN,NaN
267,NaN,NaN,NaN
268,NaN,NaN,NaN
269,NaN,NaN,NaN
270,NaN,NaN,NaN
271,NaN,NaN,NaN
272,NaN,NaN,NaN
273,NaN,NaN,NaN
